"","X","Site","Year","ID","Attempt","Nest_Fate","age","Date_Incubation","Date_Failure","Comments","unique_ID","tph","gc","cc","maxveg","avgveg","voveg","Died_Nesting","Nest_Random","site"
"1",1,"WLA","2014","45",1,"1",1,"5/12/2014","6/7/2014","","45 1 1",NA,70.4,81.12,200,140,138.75,"N",1,"WLA"
"2",2,"WLA","2014","46",1,"0",1,"4/29/2014","4/29/2014","","46 1 0",NA,71,84.448,200,108.75,140,"N",1,"WLA"
"3",3,"WLA","2014","46",2,"0",1,"5/12/2014","5/17/2014","","46 2 0",NA,80,46.176,192.5,126.25,165,"N",1,"WLA"
"4",4,"WLA","2014","46",3,"0",1,"6/5/2014","6/10/2014","","46 3 0",NA,47.4,89.856,180,78.75,52.5,"N",1,"WLA"
"5",5,"WLA","2014","46",4,"0",1,"7/1/2014","7/13/2014","","46 4 0",NA,NA,NA,NA,NA,NA,"N",1,"WLA"
"6",6,"WLA","2014","47",1,"0",0,"5/21/2014","5/27/2014","","47 1 0",NA,42.4,82.16,178.75,58.75,37.5,"N",1,"WLA"
"7",7,"WLA","2014","48",1,"0",0,"4/14/2014","4/26/2014","","48 1 0",NA,73.4,70.512,187.5,130,140,"N",1,"WLA"
"8",8,"WLA","2014","49",1,"0",1,"4/30/2014","5/22/2014","","49 1 0",NA,58.2,83.2,197.5,85,87.5,"N",1,"WLA"
"9",9,"WLA","2014","52",1,"0",1,"5/22/2014","5/24/2014","","52 1 0",NA,31,94.848,127.5,51.25,31.25,"N",1,"WLA"
"10",10,"WLA","2014","52",2,"0",1,"6/10/2014","6/13/2014","","52 2 0",NA,60.8,82.992,65,56.25,51.25,"N",1,"WLA"
"11",11,"WLA","2014","53",1,"0",1,"4/27/2014","5/10/2014","","53 1 0",NA,84,57.2,197.5,107.5,146.25,"N",1,"WLA"
"12",12,"WLA","2014","53",2,"0",1,"5/26/2014","6/1/2014","","53 2 0",NA,78,73.632,200,168.75,200,"N",1,"WLA"
"13",13,"WLA","2014","54",1,"0",1,"5/13/2014","5/19/2014","","54 1 0",NA,70,70.928,200,70,55,"N",1,"WLA"
"14",14,"WLA","2014","55",1,"0",1,"4/12/2014","4/29/2014","","55 1 0",NA,11,0,143.75,36.25,24,"N",1,"WLA"
"15",15,"WLA","2014","55",2,"0",1,"5/23/2014","5/30/2014","","55 2 0",NA,30.6,97.344,172.5,92.5,41.25,"N",1,"WLA"
"16",16,"WLA","2014","55",3,"0",1,"6/23/2014","6/25/2014","","55 3 0",NA,19.4,97.136,200,97.5,37.5,"N",1,"WLA"
"17",17,"WLA","2014","56",1,"0",1,"4/15/2014","4/20/2014","","56 1 0",NA,52,82.784,187.5,118.75,81.25,"N",1,"WLA"
"18",18,"WLA","2014","56",2,"0",1,"5/18/2014","6/1/2014","","56 2 0",NA,53.8,90.064,160,70,48.75,"N",1,"WLA"
"19",19,"WLA","2014","57",1,"0",1,"5/8/2014","5/10/2014","","57 1 0",NA,66,87.152,160,111.25,113.75,"N",1,"WLA"
"20",20,"WLA","2014","57",2,"0",1,"5/29/2014","6/6/2014","","57 2 0",NA,77.4,70.512,180,87.5,85,"N",1,"WLA"
"21",21,"WLA","2014","58",1,"0",1,"5/8/2014","5/12/2014","","58 1 0",NA,17.6,99.008,187.5,22.5,8.75,"N",1,"WLA"
"22",22,"WLA","2014","58",2,"0",1,"6/5/2014","6/9/2014","","58 2 0",NA,77,76.544,188.75,120,177.5,"N",1,"WLA"
"23",23,"WLA","2014","58",3,"0",1,"7/5/2014","7/7/2014","","58 3 0",NA,25.6,96.512,200,67.5,25,"N",1,"WLA"
"24",24,"WLA","2014","59",1,"1",1,"4/30/2014","5/26/2014","","59 1 1",NA,70.4,88.192,182.5,112.5,128.75,"N",1,"WLA"
"25",25,"WLA","2014","60",1,"0",1,"4/30/2014","5/16/2014","","60 1 0",NA,71,83.616,200,122.5,142.5,"N",1,"WLA"
"26",26,"WLA","2014","60",2,"0",1,"6/18/2014","6/20/2014","","60 2 0",NA,59,94.64,195,82.5,87.5,"N",1,"WLA"
"27",27,"WLA","2014","64",1,"0",1,"4/29/2014","5/10/2014","","64 1 0",NA,50,89.024,145,71.25,55,"N",1,"WLA"
"28",28,"WLA","2014","64",2,"0",1,"6/5/2014","6/30/2014","","64 2 0",NA,80,82.16,161.25,85,92.5,"N",1,"WLA"
"29",29,"WLA","2014","65",1,"0",1,"5/15/2014","6/3/2014","","65 1 0",NA,31.2,97.76,178.75,51.25,33.75,"N",1,"WLA"
"30",30,"WLA","2014","67",1,"0",1,"5/6/2014","5/30/2014","","67 1 0",NA,39.8,98.384,132.5,55,43.75,"N",1,"WLA"
"31",31,"WLA","2014","68",1,"0",1,"5/2/2014","5/7/2014","","68 1 0",NA,40,88.192,93.75,33.75,18.75,"N",1,"WLA"
"32",32,"WLA","2014","68",2,"0",1,"6/6/2014","6/12/2014","","68 2 0",NA,46.6,84.448,176.25,67.5,55,"N",1,"WLA"
"38",38,"WLA","2014","71",1,"0",1,"4/29/2014","4/30/2014","","71 1 0",NA,55.6,96.304,200,137.5,127.5,"N",1,"WLA"
"39",39,"WLA","2014","71",2,"0",1,"5/18/2014","5/20/2014","","71 2 0",NA,75,26.208,183.75,100,118.75,"N",1,"WLA"
"40",40,"WLA","2014","74",1,"0",1,"4/22/2014","4/27/2014","","74 1 0",NA,71,70.304,185,128.75,155,"N",1,"WLA"
"41",41,"WLA","2014","86",1,"0",1,"6/3/2014","6/7/2014","","86 1 0",NA,64.8,72.8,136.25,80,56.25,"N",1,"WLA"
"42",42,"WEBB","2014","120",1,"1",1,"4/18/2014","5/16/2014","","120 1 1",5,87.5,59.04,190,152.5,157.5,"N",1,"WEBB"
"47",47,"SRS","2022","9493",1,"0",1,"4/17/2022","4/19/2022","","9493 1 0",18,100,72.4,200,175,155,"N",1,"SRS"
"48",48,"SRS","2022","9493",2,"0",1,"5/9/2022","5/24/2022","","9493 2 0",24,100,60,200,185,180,"N",1,"SRS"
"49",49,"SRS","2022","9494",1,"0",1,"4/30/2022","5/21/2022","","9494 1 0",3,100,93.2,200,195,125,"Y",1,"SRS"
"50",50,"SRS","2022","9495",1,"1",1,"4/19/2022","5/15/2022","","9495 1 1",14,100,92.8,200,195,105,"N",1,"SRS"
"51",51,"SRS","2022","9497",1,"1",1,"4/28/2022","5/24/2022","","9497 1 1",24,100,95.2,200,87.5,62.5,"N",1,"SRS"
"52",52,"SRS","2022","9498",1,"0",1,"4/29/2022","5/8/2022","","9498 1 0",8,100,78.4,200,175,130,"N",1,"SRS"
"53",53,"SRS","2022","9498",2,"0",1,"5/31/2022","6/6/2022","","9498 2 0",0,90,48,192.5,172.5,160,"N",1,"SRS"
"54",54,"SRS","2022","9499",1,"0",1,"4/27/2022","5/8/2022","","9499 1 0",17,100,90,200,135,42.5,"N",1,"SRS"
"55",55,"SRS","2022","9499",2,"0",1,"6/10/2022","6/19/2022","","9499 2 0",19,93,85.8,200,125,87.5,"N",1,"SRS"
"56",56,"SRS","2022","9501",1,"0",1,NA,"4/20/2022","","9501 1 0",0,100,6.4,190,157.5,135,"N",1,"SRS"
"57",57,"SRS","2022","9501",2,"0",1,"5/8/2022","5/10/2022","","9501 2 0",11,100,86.4,155,80,45,"N",1,"SRS"
"58",58,"SRS","2022","9501",3,"0",1,"5/30/2022","6/7/2022","","9501 3 0",7,100,88.4,192.5,152.5,102.5,"N",1,"SRS"
"59",59,"SRS","2022","9502",1,"1",1,"5/1/2022","5/26/2022","","9502 1 1",5,100,32.8,125,97.5,87.5,"N",1,"SRS"
"60",60,"SRS","2022","9504",1,"1",1,"4/27/2022","5/23/2022","","9504 1 1",18,100,87.8,200,152.5,155,"N",1,"SRS"
"61",61,"SRS","2022","9505",1,"1",1,"4/24/2022","5/20/2022","","9505 1 1",1,78,30.4,157.5,107.5,82.5,"N",1,"SRS"
"62",62,"SRS","2022","9506",1,"1",1,"4/21/2022","5/17/2022","","9506 1 1",15,99,73,200,145,162.5,"N",1,"SRS"
"63",63,"SRS","2022","9507",1,"0",1,"4/20/2022","5/9/2022","","9507 1 0",31,100,91.6,185,55,30,"N",1,"SRS"
"64",64,"SRS","2022","9510",1,"1",1,"4/19/2022","5/13/2022","","9510 1 1",14,100,52,200,127.5,67.5,"N",1,"SRS"
"65",65,"SRS","2022","9512",1,"1",0,"5/2/2022","5/27/2022","","9512 1 1",1,69,5.2,175,155,122.5,"N",1,"SRS"
"66",66,"CC","2022","9516",1,"0",1,"4/6/2022","4/17/2022","","9516 1 0",0,98,21.6,180,125,115,"N",1,"CC"
"67",67,"CC","2022","9519",2,"1",1,"5/9/2022","6/6/2022","","9519 2 1",12,84,84.6,95,20,30,"N",1,"CC"
"68",68,"CC","2022","9519",1,"0",1,"4/14/2022","4/17/2022","","9519 1 0",16,100,70.2,200,77.5,40,"N",1,"CC"
"69",69,"CC","2022","9520",1,"1",1,"4/7/2022","5/6/2022","","9520 1 1",8,100,69.2,200,92.5,67.5,"N",1,"CC"
"70",70,"CC","2022","9522",1,"0",1,"4/15/2022","4/18/2022","","9522 1 0",16,NA,80.4,200,52.5,40,"N",1,"CC"
"71",71,"CC","2022","9522",2,"0",1,"5/10/2022","5/15/2022","","9522 2 0",5,88,65.2,122.5,95,95,"N",1,"CC"
"72",72,"CC","2022","9523",1,"0",1,"4/17/2022","4/24/2022","","9523 1 0",24,100,72.8,195,60,97.5,"N",1,"CC"
"73",73,"CC","2022","9525",1,"1",1,"4/4/2022","5/2/2022","","9525 1 1",11,100,75.2,200,62.5,30,"N",1,"CC"
"74",74,"CC","2022","9526",1,"1",1,"4/19/2022","5/18/2022","","9526 1 1",6,79,76.2,200,112.5,42.5,"N",1,"CC"
"75",75,"CC","2022","9527",1,"0",1,"4/14/2022","4/23/2022","","9527 1 0",16,97,83.4,90,55,20,"N",1,"CC"
"76",76,"CC","2022","9531",1,"0",1,"3/31/2022","4/3/2022","","9531 1 0",3,84,20,185,122.5,62.5,"N",1,"CC"
