Band,Nest/Random (N/R),Robel North- Max Height (cm),Robel North- Avg Height (cm),Robel North- Min Height (cm),Robel East- Max Height (cm),Robel East- Avg Height (cm),Robel East- Min Height (cm),Robel South- Max Height (cm),Robel South- Avg Height (cm),Robel South- Min Height (cm),Robel West- Max Height (cm),Robel West- Avg Height (cm),Robel West- Min Height (cm),Nudds_North_Percent,Nudds_East_Percent,Nudds_South_Percent ,Nudds_West_Percent,Nudds North Height (cm),Nudds East Height (cm),Nudds South Height (cm),Nudds West Height (cm) 
2314,n,110,100,90,80,60,40,200,130,60,130,80,30,50,30,20,20,75,45,35,35
2314,r,110,65,20,200,130,60,180,100,20,190,110,30,5,35,15,50,10,60,20,70
2339,n,140,110,80,120,60,0,130,100,70,200,200,200,30,10,20,90,50,15,20,150
2339,r,0,0,0,10,5,0,0,0,0,10,5,0,1,1,1,1,5,10,5,10
2339 (n2),n,60,40,20,50,45,40,100,60,20,80,70,60,10,5,10,10,20,10,20,20
2339 (n2),r,30,20,10,150,95,40,170,100,30,40,25,10,25,30,20,5,30,35,30,15
2366,n,200,105,10,110,75,40,200,160,20,130,75,20,20,15,50,40,30,25,90,60
2366,r,180,130,80,120,70,20,200,115,30,200,120,40,60,20,15,40,85,30,20,60
2369,r,200,135,70,200,125,50,200,165,130,200,115,30,10,95,40,30,15,45,60,45
2369,n,200,105,10,200,105,10,200,120,40,160,85,10,10,40,20,15,15,60,30,20
2379,n,200,110,20,200,180,160,200,120,40,200,105,10,30,50,15,75,45,45,75,20
2379,r,200,105,10,180,165,150,200,110,20,100,55,10,50,40,30,50,50,75,30,20
2390,n,200,140,80,200,105,10,60,50,40,110,65,20,70,75,15,15,100,20,25,25
2390,r,200,105,10,160,95,30,200,105,10,200,110,20,40,15,20,30,50,20,20,30
2412,n,0,0,0,200,200,200,200,145,90,120,85,50,100,98,60,35,0,150,100,45
2412,r,120,85,50,110,60,30,150,85,20,100,55,10,30,15,20,30,45,20,30,30
2413,n,100,95,90,200,200,200,180,155,130,55,55,55,40,100,80,75,70,150,130,140
